GeoName,New_MEFI_Score,MEFI_Score,Govt_Consumption,Govt_Xfers_Subsidies,Govt_Retirement, Income_Payroll_Tax,Sales_Tax,Property_Tax,Minimum_Wage_Over_Income,Percent_Govt_Employment,Percent_Private_Union_Density,Minimum_Wage_Over_10%_Income
"Glens Falls, NY MSA",5.594964823,5.019526226,6.210225785,9.18882389,4.533779086,1.309393521,4.767657241,5.760447461,6.459128758,6.946280296,0,5.17895
"Goldsboro, NC MSA",7.09205738,7.268940389,7.872188902,8.535730729,6.030654983,3.555677145,5.757060562,9.355720257,7.117113047,7.414897109,9.781420765,8.18947
"Grand Forks, ND-MN MSA",6.689542389,6.823401822,6.151065297,9.070635507,4.33982827,5.69618475,4.743759675,8.31593554,8.109217448,7.842412905,7.141577002,5.93684
"Grand Island, NE MSA",6.668526308,6.775246661,4.241747587,9.474406319,8.115975189,4.16384872,5.910162766,7.026259696,6.793076543,8.038628374,7.213114754,6.25263
"Grand Junction, CO MSA",7.56220599,7.590940851,10,9.291771386,4.38990081,4.625387801,8.45957235,10,6.277203634,8.82654425,6.448087432,6.18947
"Grand Rapids-Wyoming, MI MSA",6.918956917,6.56328632,7.444748962,9.095481873,3.774136115,4.234365727,6.232746438,8.352130842,7.486042981,9.335169841,3.114754098,6.31579
"Grants Pass, OR MSA",5.893996009,5.76328307,6.365973047,9.353172995,0.87209427,0,9.806525767,8.692921691,5.171856152,8.109735948,3.49726776,4.67368
"Great Falls, MT MSA",7.120665452,6.909167673,7.424152993,9.607476344,2.996606057,3.926645343,9.367339603,7.899469864,7.712111551,8.057450474,5.191256831,7.09474
"Greeley, CO MSA",7.515693405,7.584194348,10,9.27733348,4.388803482,4.625387801,8.433918458,10,6.646368984,8.437849497,6.448087432,5.83158
"Green Bay, WI MSA",6.979388276,6.975719724,7.344867537,9.323579167,3.989566757,3.005356753,6.55553901,8.070364007,8.753502887,8.634876266,7.103825137,7.13684
"Greensboro-High Point, NC MSA",7.251361615,7.432922986,7.918448793,8.54877771,6.030654983,3.555677145,5.751343409,8.64082027,7.820371801,8.848792001,9.781420765,8.14737
"Greenville, NC MSA",6.388333871,6.551181792,0,9.189010528,6.030654983,3.555677145,5.743719631,9.167125599,7.479328996,8.013698481,9.781420765,8.31579
"Greenville-Anderson-Mauldin, SC MSA",7.110869919,7.326074597,5.667252242,8.042998774,4.640101719,5.169271117,7.445433755,8.650550507,8.016323091,8.302740169,10,8.06316
"Gulfport-Biloxi-Pascagoula, MS MSA",5.919987525,5.948760733,3.410068797,8.920734945,1.887907157,5.44350175,3.32317246,7.644452044,6.948690431,7.217149616,8.743169399,8.48421
"Hagerstown-Martinsburg, MD-WV MSA",6.404366834,6.305562038,6.860823752,7.910016583,4.832160487,2.085147714,5.88322821,8.847141197,6.771173426,7.839083819,5.721283153,6.61053
"Hammond, LA MSA",6.184856796,6.202777737,4.476431291,9.123289798,2.779137262,6.426378757,0,10,7.128169103,6.656620745,9.234972678,9.07368
"Hanford-Corcoran, CA MSA",5.315540541,5.206877262,5.474205108,6.903349258,2.89933626,0.752799123,6.877993908,9.02209985,4.152219043,7.6104939,3.169398907,4.14737
"Harrisburg-Carlisle, PA MSA",6.799574327,6.615699339,6.868647253,8.636296104,3.527554016,3.263892994,6.153619638,7.524119053,8.867854442,9.617343337,5.081967213,6.73684
"Harrisonburg, VA MSA",7.443712464,7.603876079,7.351211482,9.344325324,7.087174955,3.249265533,7.459993978,8.674259866,7.291664058,8.851306451,9.12568306,7.68421
"Hartford-West Hartford-East Hartford, CT MSA",6.342085825,6.228897572,9.410448517,9.543446504,2.569897866,2.045072318,6.658381611,6.629858965,8.086387938,8.766857653,2.349726776,3.36842
"Hattiesburg, MS MSA",5.932768587,5.907740625,2.946365314,8.920734945,1.887907157,5.44350175,3.388687428,8.237904382,7.239108828,6.362286422,8.743169399,8.96842
"Hickory-Lenoir-Morganton, NC MSA",6.954534677,7.164166224,7.074454576,8.320011216,6.030654983,3.555677145,5.736487341,8.983313999,7.281654075,7.713821917,9.781420765,7.89474
"Hilton Head Island-Bluffton-Beaufort, SC MSA",7.438030085,7.6111295,8.533867877,8.042998774,4.670980764,5.169271117,7.259871701,7.294318642,8.937669821,8.591186804,10,8.44211
